Team,Season,gameId,OpposingTeam,gameDate,home_or_away,situation,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,blockedShotAttemptsFor,goalsFor,savedShotsOnGoalFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,xGoalsAgainst,shotsOnGoalAgainst,blockedShotAttemptsAgainst,goalsAgainst,savedShotsOnGoalAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,powerPlayxGoalsFor,powerPlayxGoalsAgainst,shortHandedxGoalsAgainst,otherxGoalsFor,otherxGoalsAgainst,shortHandedxGoalsFor,fiveOnFivexGoalsFor,fiveOnFivexGoalsAgainst,fiveOnfiveFenwickPercentage,fiveOnfiveCorsiPercentage,last_10_avg_xgoals_for,last_10_avg_xgoals_against,result,home_away,last_10_avg_goals_for,last_10_avg_goals_against,opp_last_10_goals_for,opp_last_10_goals_against,opp_last_10_xgoals_against,opp_last_10_xgoals_for
EDM,2023,2023020871,ARI,20240219,AWAY,all,0.437,0.4713,2.729,26,11,6,20,6,29,18,5,11,35,3,3,1.14,0.401,1.187,2,2,2,2.619,25,21,3,22,6,21,27,9,5,37,6,3,1.082,0.582,0.956,3,0,0,0.634,0.013,0.232,0.553,0.773,0.013,1.529,1.602,0.4493,0.4493,3.719,2.9709,1,0,3.5,2.6,2.5,4.2,3.3253999999999997,2.4694
EDM,2023,2023020888,BOS,20240221,HOME,all,0.6,0.5656,5.133,42,24,5,37,9,34,23,10,16,49,14,6,1.625,1.662,1.845,0,3,2,3.578,36,9,6,30,11,37,32,10,14,42,5,6,1.235,0.619,1.724,4,0,2,0.328,0,0.293,0.44,0.582,0.028,4.336,2.703,0.5758,0.5758,3.5728999999999997,3.0168,0,1,3.8,2.8,2.6,2.8,3.0397,3.1913
EDM,2023,2023020902,MIN,20240223,HOME,all,0.5816,0.6154,5.247,43,18,2,41,8,38,26,14,9,43,14,7,1.427,1.623,2.197,1,0,1,3.34,20,19,4,16,4,18,28,4,5,27,9,4,0.706,0.952,1.682,2,1,1,0.724,0,0.172,0,0.78,0.067,4.457,2.388,0.6404,0.6404,3.7950000000000004,3.0825,0,1,3.9,3.3,3.7,3.2,2.7640000000000002,3.3158000000000003
EDM,2023,2023020912,CGY,20240224,HOME,all,0.5891,0.5402,4.459,35,29,3,32,26,32,32,7,15,25,17,5,0.82,2.328,1.312,0,2,1,5.219,31,13,6,25,24,32,32,4,7,27,7,6,0.752,0.917,3.549,2,2,2,0.927,0.153,1.157,0.49,2.438,0,3.042,1.471,0.5846,0.5846,3.8272,3.1734,0,1,3.8,3.7,2.9,2.9,2.9745999999999997,3.4482
EDM,2023,2023020925,LAK,20240226,HOME,all,0.4793,0.4479,3.041,31,15,4,27,4,30,34,10,14,29,11,3,0.837,1.509,0.696,1,3,0,3.536,40,10,2,38,6,28,39,8,7,41,7,5,0.862,0.898,1.776,0,2,0,0.338,0.024,0.026,0.101,1.678,0,2.602,1.808,0.5,0.5,4.034000000000001,3.3876,1,1,3.7,4.2,2.8,2.6,3.2943,3.1955999999999998
EDM,2023,2023020940,STL,20240228,HOME,all,0.5827,0.5161,3.536,36,26,3,33,6,31,35,13,12,30,15,3,0.825,1.946,0.764,1,2,0,2.202,34,8,2,32,4,28,28,12,12,39,4,2,1.091,0.455,0.656,1,0,1,0.184,0.012,0.443,0.222,0.5,0.082,3.048,1.247,0.5443,0.5443,4.0023,3.5044000000000004,1,1,4,4.1,2.8,3,3.2638,2.8489
EDM,2023,2023020958,SEA,20240302,AWAY,all,0.4522,0.4872,1.832,24,14,2,22,6,22,8,8,3,32,4,2,0.885,0.366,0.582,2,0,0,2.647,25,23,1,24,4,28,20,14,6,29,8,3,1.191,0.833,0.624,1,0,0,0.023,0,0.704,0,0.33,0.044,1.765,1.613,0.5397,0.5397,3.9320999999999997,3.5422,1,0,3.8,4,2.3,2.4,2.898,2.6041
EDM,2023,2023020974,PIT,20240303,HOME,all,0.5752,0.5476,4.388,37,19,6,31,4,31,29,13,13,31,10,5,0.997,1.592,1.8,2,2,2,1.89,23,10,1,22,4,23,29,14,11,33,3,2,1.048,0.332,0.51,0,1,0,0.375,0,0.045,0.448,0,0,3.565,1.845,0.5467,0.5467,3.7381,3.4198,1,1,4,3.7,3,3.1,2.7152000000000003,2.9476
EDM,2023,2023020981,BOS,20240305,AWAY,all,0.6174,0.5658,1.953,26,28,2,24,4,27,29,5,6,37,4,2,0.966,0.46,0.527,0,1,1,1.69,25,11,1,24,4,20,27,6,12,27,5,1,0.859,0.599,0.232,1,0,0,0.097,0.008,0.206,0.474,0,0.055,1.327,1.476,0.5,0.5,3.8194000000000004,3.1974,1,0,3.8,3.4,3.1,3.6,3.4519999999999995,3.1173
EDM,2023,2023020995,CBJ,20240307,AWAY,all,0.4833,0.5111,5.151,31,12,2,29,9,29,19,2,4,35,3,8,1.099,0.366,3.686,0,1,1,2.761,34,18,4,30,13,24,22,9,1,37,4,3,0.944,0.567,1.251,1,1,2,1.322,0,0.013,1.551,0.702,0.075,2.203,2.047,0.4615,0.4615,3.557,2.9272,0,0,3.7,2.9,3.4,3.4,3.0993,3.1774999999999998
EDM,2023,2023021009,BUF,20240309,AWAY,all,0.4862,0.5111,3.224,32,7,2,30,2,39,14,5,4,33,11,2,0.9,1.747,0.578,1,1,0,3.163,27,12,2,25,6,10,41,11,2,29,13,2,1.036,1.669,0.458,1,1,0,0.046,0.392,0.523,0.041,0.329,0.161,2.976,1.919,0.5352,0.5352,3.7469,2.9482,0,0,3.5,3,2.7,2.7,2.8582,2.6554
EDM,2023,2023021022,PIT,20240310,AWAY,all,0.5068,0.5089,2.83,42,17,4,38,17,24,4,10,6,46,9,2,1.298,1.118,0.414,3,1,0,3.9,41,17,0,41,13,32,16,7,9,37,12,6,0.945,1.404,1.551,0,0,0,0.305,0.319,0.512,0.401,0.275,0.263,1.86,2.794,0.4691,0.4691,3.7963999999999998,3.0026,1,0,3.1,2.9,2.9,4.1,3.0909,2.9468
EDM,2023,2023021043,WSH,20240313,HOME,all,0.5472,0.5513,3.165,37,15,7,30,8,32,19,10,8,27,15,1,0.883,1.962,0.32,1,5,1,5,25,13,2,23,8,23,33,16,17,21,7,7,0.577,0.86,3.563,1,0,1,0.797,0,2.38,0,0,0.114,2.254,2.619,0.5323,0.5323,3.5661,3.0347999999999997,1,1,3,2.3,3.9,3,3.1169000000000002,2.7038
EDM,2023,2023021070,COL,20240316,HOME,all,0.4257,0.4369,2.924,34,18,2,32,7,38,39,7,13,33,11,1,1.091,1.409,0.424,0,2,0,3.671,43,27,3,40,7,22,30,8,5,40,16,2,1.263,1.927,0.48,1,2,0,0.231,0,0,0.23,0.479,0,2.463,3.192,0.413,0.413,3.3579,3.2008,0,1,3.5,2.1,3.9,2,2.8284,3.5344
EDM,2023,2023021090,MTL,20240319,HOME,all,0.4917,0.481,3.822,32,21,3,29,11,21,28,7,11,19,15,4,0.787,1.772,1.263,0,2,1,2.292,25,20,2,23,15,30,26,7,12,34,5,2,0.89,0.652,0.749,1,1,0,1.401,0,0.088,0.746,0.516,0,1.674,1.689,0.3846,0.3846,3.2043999999999997,3.0460000000000003,1,1,3.4,1.8,2.6,2.9,3.2399999999999998,2.6161000000000003
EDM,2023,2023021104,BUF,20240321,HOME,all,0.5781,0.5843,4.641,39,22,8,31,6,34,32,12,9,31,16,5,1.277,1.941,1.423,4,3,1,1.567,29,17,3,26,4,23,28,8,5,31,5,1,0.726,0.502,0.339,1,2,0,0.287,0,0.086,0,0.092,0.09,4.264,1.389,0.6438,0.6438,3.2825,2.9215999999999998,1,1,3.3,1.8,3.4,2.7,3.5442,2.6569
EDM,2023,2023021118,TOR,20240323,AWAY,all,0.6304,0.5745,5.025,39,33,3,36,13,30,31,5,9,40,7,7,1.195,0.784,3.046,0,1,2,3.176,29,11,6,23,17,27,33,7,11,28,9,3,0.993,1.111,1.072,2,3,1,1.493,0.031,0.655,1.797,0.524,0.104,1.631,1.966,0.5313,0.5313,3.393,2.8581,0,0,3.8,1.9,3.4,2.9,3.1315999999999997,3.5015
EDM,2023,2023021128,OTT,20240324,AWAY,all,0.6735,0.6933,4.008,36,14,3,33,8,29,18,10,9,41,4,7,1.03,0.474,2.503,0,1,2,2.596,16,9,5,11,6,25,26,15,17,14,6,3,0.474,0.64,1.481,2,2,1,1.308,0,0.266,0.108,1.193,0,2.592,1.138,0.6949,0.6949,3.7123,2.911,0,0,3.9,2.4,2.4,3.4,2.9531,3.0347999999999997
EDM,2023,2023021142,WPG,20240326,AWAY,all,0.5701,0.5732,4.936,42,14,4,38,20,30,38,6,9,32,7,8,0.782,0.772,3.383,1,1,2,3.033,25,11,3,22,16,29,28,3,3,23,9,3,0.803,1.127,1.104,2,0,1,1.245,0.033,0.392,0.325,0.137,0,3.367,2.47,0.6029,0.6029,3.6743,2.9816,1,0,3.6,2.8,2.8,2.5,2.7473,2.8037
EDM,2023,2023021160,LAK,20240328,HOME,all,0.4486,0.4265,2.75,20,19,4,16,6,23,47,10,13,16,11,2,0.626,1.478,0.646,1,2,1,3.567,32,20,1,31,6,31,32,7,9,27,6,6,0.869,0.891,1.807,0,0,1,0.231,0,0,0.521,0.709,0.132,1.866,2.858,0.4151,0.4151,3.9726,3.1159,1,1,3.8,3,3.4,2.1,2.8714,2.6726
EDM,2023,2023021167,ANA,20240330,HOME,all,0.6198,0.6593,5.084,37,15,6,31,4,37,19,8,12,42,10,8,1.445,1.31,2.329,2,2,2,2.1,22,15,1,21,6,21,33,8,12,25,3,3,0.717,0.317,1.066,0,0,1,0.501,0,0.495,0,0.063,0.021,4.562,1.542,0.6585,0.6585,3.7325000000000004,3.1965,1,1,4,2.7,1.3,4,3.186,2.1081
EDM,2023,2023021186,STL,20240401,AWAY,all,0.5596,0.5412,2.49,38,15,2,36,13,25,15,20,4,35,10,1,0.939,1.256,0.295,2,0,0,3.51,29,9,3,26,11,32,29,12,8,26,7,6,0.88,0.844,1.785,1,1,1,0.025,0,0.43,0.25,1.115,0.199,2.016,1.964,0.5938,0.5938,3.9185000000000003,3.0902000000000003,0,0,4.4,2.6,3.3,2.5,3.0536,3.1711
EDM,2023,2023021199,DAL,20240403,AWAY,all,0.5401,0.4757,3.449,35,25,0,35,16,26,29,2,7,35,10,4,0.787,1.325,1.337,0,0,0,3.564,32,9,5,27,8,30,19,8,5,37,13,4,1.205,1.509,0.85,2,2,1,0.614,0.102,0.715,0,0.088,0.193,2.642,2.658,0.45,0.45,3.8845,3.0512,0,0,4.2,2.9,3.8,2.2,2.3192,3.9781999999999997
EDM,2023,2023021214,COL,20240405,HOME,all,0.5948,0.6354,5.002,47,8,6,41,6,39,18,13,15,40,14,7,1.421,1.697,1.884,2,1,3,1.48,24,12,2,22,6,20,34,7,12,29,6,0,0.772,0.708,0,1,1,0,1.506,0.078,0.028,0.02,0,0.578,2.897,1.374,0.5694,0.5694,3.9128999999999996,2.9076,1,1,3.5,3.2,3.8,2.7,2.8743,4.0607
EDM,2023,2023021226,CGY,20240406,AWAY,all,0.4444,0.4333,4.364,27,17,4,23,14,36,13,12,7,23,11,5,0.662,1.509,2.194,0,1,3,2.998,35,19,2,33,14,29,17,12,9,40,8,3,1.18,1.044,0.774,1,1,0,1.444,0.022,0.647,0.838,0.149,0.289,1.793,2.18,0.3594,0.3594,4.1207,2.6885000000000003,1,0,3.9,3.1,2.7,3.6,3.1742,2.6387
EDM,2023,2023021253,VGK,20240410,HOME,all,0.5172,0.5432,3.513,25,16,5,20,0,27,24,10,8,29,10,5,0.812,1.326,1.375,3,1,1,1.86,18,19,1,17,6,26,35,8,16,31,5,1,0.954,0.562,0.344,0,1,0,0.939,0.126,0,0.154,0,0,2.42,1.734,0.5205,0.5205,4.1749,2.7591,1,1,4,3.1,3.5,3,2.7315,2.9073
EDM,2023,2023021267,ARI,20240412,HOME,all,0.5938,0.5938,4.014,41,19,2,39,4,36,37,9,9,42,10,5,1.172,1.309,1.534,1,1,0,2.725,28,13,3,25,2,19,19,7,4,29,7,3,1.028,0.874,0.824,1,1,1,0.062,0.25,0.027,0.099,0.33,0,3.853,2.118,0.6322,0.6322,4.0621,2.7884,0,1,3.7,2.9,4,3.5,3.1387,3.3141999999999996
EDM,2023,2023021280,VAN,20240413,HOME,all,0.5841,0.5488,3.94,33,21,1,32,2,26,36,6,5,29,9,7,0.956,1.086,1.899,0,0,1,2.273,27,10,3,24,4,30,47,4,6,31,4,2,0.968,0.524,0.781,2,0,1,0.928,0,0.048,0.492,0.527,0,2.52,1.699,0.5075,0.5075,3.961,2.7433,0,1,3.6,2.6,2.9,3.1,2.8952,3.2022
EDM,2023,2023021293,SJS,20240415,HOME,all,0.6496,0.6404,3.889,38,19,9,29,2,31,20,8,22,39,14,4,1.03,1.862,0.997,2,5,2,2.238,21,9,2,19,0,22,40,6,14,21,8,3,0.498,1.012,0.728,1,0,1,0,0,0.02,0,0,0,3.889,2.218,0.6552,0.6552,3.9542,2.711,1,1,3.4,2.4,2.3,3.2,3.8653999999999997,2.0555
EDM,2023,2023021306,ARI,20240417,AWAY,all,0.6154,0.5949,2.33,30,17,2,28,4,37,18,10,8,39,7,1,0.958,0.855,0.518,1,1,0,2.439,24,8,5,19,4,23,19,5,5,23,8,1,0.686,0.854,0.899,1,3,1,0.049,0.015,0.224,0.098,0.899,0,2.184,1.301,0.6087,0.6087,3.8495,2.6315,0,0,3.9,2.3,4.4,3.8,3.1041,3.3515
EDM,2023,2023021310,COL,20240418,AWAY,all,0.4775,0.5,4.268,26,12,1,25,6,37,17,10,4,26,7,8,0.711,0.943,2.614,0,0,1,2.836,27,17,5,22,4,18,11,9,7,29,9,3,1.044,1.052,0.741,3,1,1,0.598,0.027,0.975,0,0,0.144,3.527,1.834,0.5224,0.5224,3.8075,2.5187,0,0,3.7,2.7,3,4,3.9622,3.2566
EDM,2024,2024020008,WPG,20241009,HOME,all,0.6581,0.6076,2.838,30,29,0,30,6,29,20,7,8,38,8,2,1.16,0.934,0.745,0,0,0,2.49,20,9,6,14,2,20,11,5,16,24,4,3,0.711,0.435,1.344,4,0,2,0.259,0.01,1.058,0,0,0.185,2.395,1.422,0.6,0.6,,,0,1,,,,,,
EDM,2024,2024020036,CHI,20241012,HOME,all,0.7218,0.6951,4.067,38,39,2,36,6,38,9,13,9,40,12,5,1.203,1.463,1.401,0,1,1,2.557,20,12,5,15,6,25,16,9,11,19,2,4,0.56,0.299,1.699,2,0,3,0.511,0,1.376,0.599,0.323,0,2.957,0.858,0.6957,0.6957,2.838,2.49,0,1,0,6,1.5,3.5,4.0489999999999995,2.3845
EDM,2024,2024020040,CGY,20241013,HOME,all,0.4715,0.4824,2.495,26,17,1,25,6,29,15,8,20,32,6,3,0.815,0.673,1.007,0,0,1,5.078,29,21,4,25,2,23,28,4,23,28,9,7,0.734,1.146,3.198,1,1,2,0,0.01,0.039,0.109,2.244,0.099,2.287,2.785,0.5,0.5,3.4525,2.5235000000000003,0,1,1,5.5,6,4,2.644,3.0845000000000002
EDM,2024,2024020056,PHI,20241015,HOME,all,0.5583,0.5057,2.916,31,23,4,27,20,39,23,7,12,31,11,2,1.027,1.312,0.577,3,1,0,2.883,30,10,3,27,18,27,21,7,9,34,5,4,0.821,0.542,1.519,2,0,1,0.547,0.129,1.239,0.344,0,0.008,2.017,1.514,0.5484,0.5484,3.1333333333333333,3.375,1,1,1,5,2.5,4,3.5180000000000002,2.5665
EDM,2024,2024020069,NSH,20241017,AWAY,all,0.544,0.573,3.956,36,17,4,32,11,30,9,1,18,36,9,6,0.895,1.124,1.937,1,1,2,2.097,27,19,2,25,13,36,29,5,21,27,10,1,0.779,1.045,0.273,0,2,0,0.55,0.063,0.519,0.647,0.058,0,2.759,1.457,0.5915,0.5915,3.079,3.2520000000000002,1,0,1.75,4.5,2,4.666666666666667,2.8096666666666668,3.5623333333333336
EDM,2024,2024020077,DAL,20241019,AWAY,all,0.584,0.5682,3.031,31,23,1,30,2,39,10,8,23,37,9,4,0.95,1.076,1.004,0,1,0,3.274,24,14,4,20,4,23,23,10,15,27,8,3,0.914,0.817,1.542,0,3,1,0.111,0,0.087,0.252,1.313,0,2.667,1.874,0.5455,0.5455,3.2543999999999995,3.021,0,0,2.2,4,2.6,1.6,3.0886,2.79
EDM,2024,2024020103,CAR,20241022,HOME,all,0.4677,0.4632,4.579,35,14,2,33,6,29,14,9,17,24,13,7,0.625,1.704,2.25,1,0,1,4.606,33,15,3,30,10,23,25,10,21,34,9,8,1.042,1.073,2.492,1,0,2,1.484,0.315,0.623,0.552,0.529,0,2.544,3.14,0.4412,0.4412,3.217166666666667,3.063166666666667,0,1,2,4,3,2.75,3.2432499999999997,4.1827499999999995
EDM,2024,2024020121,PIT,20241025,HOME,all,0.619,0.6481,5.817,50,21,4,46,9,27,11,7,11,44,21,5,1.334,2.748,1.735,3,1,0,2.164,27,18,0,27,7,20,21,6,14,31,4,3,0.756,0.44,0.967,0,0,0,0.348,0.087,0.036,0,0,0.124,5.344,2.041,0.6701,0.6701,3.411714285714286,3.2835714285714284,1,1,2,3.857142857142857,3.375,4.25,4.138875,3.879
EDM,2024,2024020136,DET,20241027,AWAY,all,0.5785,0.5595,2.356,34,23,3,31,7,23,11,1,18,36,10,1,0.997,1.089,0.27,2,1,0,3.179,26,14,2,24,9,35,23,1,11,23,12,2,0.928,1.585,0.667,1,1,0,0.031,0.02,0.059,0.14,0,0,2.185,3.1,0.5513,0.5513,3.712375,3.143625,1,0,2.25,3.375,2.875,3.125,3.923,2.890125
EDM,2024,2024020142,CBJ,20241028,AWAY,all,0.5676,0.5632,2.268,32,14,1,31,8,34,10,4,17,41,6,2,0.939,0.705,0.624,0,0,1,2.535,25,10,6,19,10,21,20,4,16,28,7,3,0.816,0.835,0.884,2,3,1,0.517,0.047,0.282,0.041,0,0.11,1.6,2.206,0.4921,0.4921,3.5616666666666665,3.1475555555555554,0,0,2.3333333333333335,3.2222222222222223,3.857142857142857,3.4285714285714284,2.857,2.619
EDM,2024,2024020166,NSH,20241031,AWAY,all,0.4865,0.5256,2.238,29,13,5,24,16,27,20,7,10,31,8,2,0.71,0.881,0.646,2,3,0,2.172,27,20,1,26,12,23,30,5,9,28,8,1,0.956,0.967,0.25,0,1,0,0.009,0,0.448,0.077,0,0.017,2.136,1.724,0.5441,0.5441,3.4323,3.0863,1,0,2.2,3.5,2.5555555555555554,3.4444444444444446,3.115111111111111,3.4388888888888887
EDM,2024,2024020190,CGY,20241103,AWAY,all,0.4274,0.4691,3.449,31,15,4,27,6,29,19,2,10,28,6,4,0.739,0.83,1.88,0,2,2,2.974,31,28,2,29,6,33,13,4,23,31,8,4,0.821,1.017,1.136,1,1,0,1.04,0,0.16,0.524,0.55,0,1.885,2.265,0.4722,0.4722,3.3723,3.0545,1,0,2.7,3,2.6,2.9,3.1263,2.9935
EDM,2024,2024020193,NJD,20241104,HOME,all,0.6593,0.6818,3.356,31,15,0,31,2,23,5,7,19,32,10,3,0.928,1.359,1.069,0,0,0,2.875,16,10,3,13,4,24,23,5,12,14,3,4,0.345,0.549,1.981,1,0,2,0.465,0.008,0.656,0.24,0.616,0,2.651,1.594,0.6909,0.6909,3.3104999999999998,3.0962,0,1,2.9,2.7,3.6,3.3,2.7507,3.5491
EDM,2024,2024020207,VGK,20241106,HOME,all,0.5225,0.4706,2.254,29,18,2,27,4,29,29,8,9,33,6,1,1.083,0.751,0.421,1,1,0,3.445,35,8,4,31,2,28,16,1,3,35,5,5,0.876,0.584,1.985,1,1,2,0,0,0.416,0,1.19,0,2.254,1.84,0.5333,0.5333,3.3966000000000003,2.8759,0,1,2.8,2.6,4.2,3,3.215,3.1494
EDM,2024,2024020235,VAN,20241109,AWAY,all,0.5876,0.5844,3.339,31,12,7,24,4,28,10,3,19,33,9,3,0.691,1.244,1.404,3,2,2,1.453,20,8,3,17,6,32,34,4,13,26,6,0,0.711,0.742,0,0,3,0,1.037,0,0.187,0,0,0.155,2.147,1.266,0.5692,0.5692,3.3304,2.9321,1,0,2.6,2.7,3.2,2.7,2.6608,2.9577
EDM,2024,2024020249,NYI,20241112,HOME,all,0.6406,0.6593,4.153,42,22,4,38,2,32,7,10,14,42,12,6,1.328,1.461,1.363,2,1,1,1.361,22,15,3,19,4,28,15,4,19,26,4,1,0.696,0.395,0.27,1,1,1,0.346,0.064,0.005,0.47,0.27,0,3.337,1.023,0.6456,0.6456,3.2687,2.8677,1,1,2.9,2.8,2.4,3.2,3.2476,3.0268
EDM,2024,2024020264,NSH,20241114,HOME,all,0.5699,0.6216,3.025,34,7,3,31,4,27,15,4,19,35,9,2,1.398,1.021,0.607,3,0,0,1.362,22,12,2,20,8,30,19,5,21,22,6,0,0.581,0.781,0,1,1,0,0.357,0,0,0.377,0.125,0.116,2.175,1.236,0.5714,0.5714,3.3808999999999996,2.6764,1,1,3.2,2.7,2.5,3,3.279,2.9943999999999997
EDM,2024,2024020274,TOR,20241116,AWAY,all,0.5736,0.5366,2.584,30,30,3,27,8,24,15,7,11,39,3,2,1.134,0.426,1.025,0,1,2,2.363,22,17,4,18,7,19,18,4,14,29,6,3,0.872,0.749,0.743,2,2,0,0.852,0.028,0.914,0.397,0.175,0.06,1.275,1.246,0.5862,0.5862,3.2254999999999994,2.352,0,0,3.3,2.6,3.1,2.3,2.5032,3.2408
EDM,2024,2024020290,MTL,20241118,AWAY,all,0.4783,0.4699,2.97,30,16,0,30,6,22,13,3,14,28,7,4,0.578,0.879,1.513,0,0,0,5.046,25,16,3,22,8,17,19,6,9,25,12,7,0.647,1.501,2.897,1,1,1,0.071,0.176,0.177,2.033,1.595,0,0.866,3.099,0.4,0.4,2.9021999999999997,2.3719,0,0,3.2,3,2.8,4.1,3.2289000000000003,2.5768
EDM,2024,2024020294,OTT,20241119,AWAY,all,0.4685,0.5,2.615,31,13,5,26,11,29,17,5,11,30,6,3,0.72,0.705,1.19,0,3,2,2.338,29,20,2,27,13,31,35,4,12,30,8,1,0.983,1.062,0.293,1,1,0,0.027,0,0.206,0.428,0.054,0,2.159,2.078,0.5,0.5,2.9636,2.5586,1,0,2.9,3.1,2.9,2.8,2.6435000000000004,2.8960999999999997
EDM,2024,2024020315,MIN,20241121,HOME,all,0.5714,0.5263,2.386,31,28,3,28,7,36,18,2,19,29,9,2,0.712,1.242,0.432,1,1,1,3.531,26,15,5,21,9,27,25,3,15,26,4,6,0.795,0.536,2.2,3,0,2,0.171,0.006,0.009,0.656,0,0,1.558,3.515,0.5,0.5,2.9983,2.5389,0,1,3.3,2.7,3.2,2.2,2.5255,2.7495000000000003
EDM,2024,2024020332,NYR,20241123,HOME,all,0.4918,0.5104,2.919,40,11,6,34,6,28,12,2,27,39,7,3,1.227,0.891,0.802,4,2,0,2.617,34,15,2,32,6,22,21,10,23,35,9,3,0.748,1.121,0.748,1,1,0,0.247,0.033,0.06,0.276,0.372,0.351,2.045,2.151,0.5211,0.5211,3.0131,2.6748000000000003,1,1,3.1,3.1,2.9,2.8,3.5643000000000002,2.9097999999999997
EDM,2024,2024020375,UTA,20241129,AWAY,all,0.5385,0.4706,3.07,32,23,4,28,2,25,8,12,12,27,11,2,0.623,1.147,1.299,1,1,2,2.731,31,9,3,28,6,28,16,8,16,35,7,3,1.196,0.73,0.806,0,1,2,1.377,0,0.081,0.319,0,0,1.373,2.651,0.411,0.411,2.9600999999999997,2.6391,1,0,3.3,3.1,2.3,2.7,3.2192,2.8383
EDM,2024,2024020385,COL,20241130,AWAY,all,0.5044,0.5301,3.334,32,13,4,28,14,37,9,3,2,31,10,3,0.76,1.152,1.422,1,2,1,2.632,28,17,1,27,8,16,16,9,11,28,8,3,0.829,1.035,0.768,0,1,0,0.18,0,0.636,1.409,0.148,0.029,1.715,1.848,0.5161,0.5161,2.9315,2.6247,1,0,3.7,3.1,3.3,3.4,2.8609,3.2281999999999997
EDM,2024,2024020405,VGK,20241203,AWAY,all,0.6,0.6111,3.688,28,22,0,28,0,30,12,8,14,35,4,5,1.387,0.587,1.715,0,0,0,1.148,16,16,1,15,0,21,6,6,19,24,4,0,0.694,0.454,0,1,0,0,0,0,0,1.147,0,0,2.541,1.148,0.5758,0.5758,3.0395,2.5434,0,0,3.9,2.8,2.7,3,3.2451,3.5092
EDM,2024,2024020418,CBJ,20241205,HOME,all,0.5702,0.6026,4.076,36,18,6,30,4,34,12,2,10,28,14,5,0.799,1.788,1.489,1,4,1,1.495,22,18,3,19,8,20,15,4,11,26,3,2,0.515,0.36,0.62,2,1,0,0.992,0.043,0.048,0,0,0,3.084,1.404,0.619,0.619,3.0744,2.5129,1,1,3.2,2.6,3.9,3.5,3.101,2.9242
EDM,2024,2024020435,STL,20241207,HOME,all,0.4522,0.4444,3.095,21,16,4,17,4,29,10,4,15,23,9,4,0.63,1.134,1.331,1,1,2,3.114,31,18,2,29,2,22,26,1,17,33,8,4,0.793,0.84,1.482,0,1,1,0.891,0,0.676,0,0.464,0,2.204,1.974,0.4714,0.4714,3.0667,2.5263,1,1,3.4,2.6,2.7,2.4,3.0675,3.1124
EDM,2024,2024020453,TBL,20241210,HOME,all,0.4681,0.5,2.547,26,10,2,24,4,28,9,2,16,25,7,2,0.943,0.973,0.631,0,2,0,1.561,22,16,1,21,4,30,14,4,14,28,5,1,0.84,0.513,0.208,0,1,0,0.328,0,0.006,0,0.168,0.013,2.206,1.386,0.5,0.5,3.0737,2.7015000000000002,1,1,3.5,2.6,4.5,3,2.564,3.3171
EDM,2024,2024020467,MIN,20241212,AWAY,all,0.5378,0.5444,3.852,35,15,7,28,11,28,8,3,14,35,11,3,0.833,1.326,1.693,2,3,2,2.459,30,14,1,29,13,22,23,3,21,33,5,3,0.959,0.71,0.789,1,0,0,1.575,0.47,0.511,0.036,0,0.097,2.144,1.477,0.5588,0.5588,3.07,2.6213,1,0,3.4,2.3,2.9,2.5,2.8516,3.2401000000000004
EDM,2024,2024020477,VGK,20241214,HOME,all,0.3793,0.4019,3.986,34,12,6,28,2,28,18,5,20,30,5,8,0.948,0.715,2.323,1,2,3,4.954,42,26,3,39,4,38,31,1,17,49,10,5,1.585,1.438,1.931,2,1,0,0.282,0.178,0.062,0.429,1.058,0.152,3.124,3.655,0.4205,0.4205,3.1582,2.3626,1,1,4.1,2.1,2.9,2.3,2.979,3.0911999999999997
EDM,2024,2024020495,FLA,20241216,HOME,all,0.4762,0.48,2.998,30,14,5,25,13,38,21,4,16,22,10,4,0.565,1.197,1.236,2,3,0,3.882,28,16,6,22,11,27,39,3,16,29,5,5,0.761,0.717,2.404,4,1,1,0.41,0.161,2.176,0.868,0.017,0,1.72,1.528,0.4727,0.4727,3.2953,2.6242,0,1,4.2,2.2,3.3,2.7,2.3579999999999997,3.2680999999999996
EDM,2024,2024020518,BOS,20241219,HOME,all,0.5046,0.4762,2.079,26,15,3,23,4,26,25,8,25,34,5,1,1.131,0.691,0.257,2,0,1,2.92,26,10,2,24,4,30,30,5,13,33,7,4,0.987,0.857,1.076,2,0,0,0.297,0,0.068,0.316,0.032,0,1.466,2.82,0.4444,0.4444,3.3564999999999996,2.6593,1,1,4.4,2.3,3.5,3.2,2.5494,2.9867999999999997
