Team,Season,gameId,OpposingTeam,gameDate,home_or_away,situation,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,blockedShotAttemptsFor,goalsFor,savedShotsOnGoalFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,xGoalsAgainst,shotsOnGoalAgainst,blockedShotAttemptsAgainst,goalsAgainst,savedShotsOnGoalAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,powerPlayxGoalsFor,powerPlayxGoalsAgainst,shortHandedxGoalsAgainst,otherxGoalsFor,otherxGoalsAgainst,shortHandedxGoalsFor,fiveOnFivexGoalsFor,fiveOnFivexGoalsAgainst,fiveOnfiveFenwickPercentage,fiveOnfiveCorsiPercentage,last_10_avg_xgoals_for,last_10_avg_xgoals_against,result,home_away,last_10_avg_goals_for,last_10_avg_goals_against,opp_last_10_goals_for,opp_last_10_goals_against,opp_last_10_xgoals_against,opp_last_10_xgoals_for
CHI,2022,2022020671,COL,20230112,HOME,all,0.4144,0.4337,3.067,30,10,3,27,10,31,31,8,7,20,12,4,0.577,1.441,1.048,1,2,0,3.538,33,18,2,31,6,25,18,6,4,32,10,5,0.895,1.069,1.573,1,0,1,1.126,0,0.141,0,0.662,0.227,1.714,2.734,0.3833,0.3833,2.4542,3.461,1,1,1.9,3.5,2.5,3.3,3.5872,3.3624
CHI,2022,2022020687,SEA,20230114,HOME,all,0.4639,0.4878,1.923,27,5,5,22,4,30,26,15,11,32,7,1,0.646,1.002,0.274,3,2,0,2.3,30,10,8,22,2,32,17,9,5,34,6,2,0.831,0.802,0.668,4,3,1,0.315,0,0.124,0,0.199,0,1.608,1.977,0.5072,0.5072,2.5392,3.5006,0,1,2.1,3,4.2,2.6,3.215,3.1927
CHI,2022,2022020709,BUF,20230117,HOME,all,0.4615,0.4333,2.832,26,15,4,22,4,25,28,13,12,27,9,3,0.769,1.176,0.886,2,2,0,3.292,33,12,3,30,0,18,13,11,5,37,11,3,1.026,1.514,0.752,0,2,1,0,0.221,0.028,0.408,0.286,0.336,2.087,2.757,0.4286,0.4286,2.4468,3.3289999999999997,1,1,2.4,3.4,3.3,3.7,3.7435,3.4329
CHI,2022,2022020719,PHI,20230119,AWAY,all,0.4135,0.4149,3.548,29,16,4,25,4,29,24,8,9,29,6,4,0.918,0.623,2.008,0,1,3,4.396,38,23,1,37,0,29,22,7,10,36,14,5,1.349,1.772,1.276,0,1,0,0,0,0.456,1.552,0.399,0,1.997,3.541,0.4512,0.4512,2.3649,3.4305999999999996,1,0,2.3,3.5,3.7,2.6,2.9062,3.1875
CHI,2022,2022020741,STL,20230121,AWAY,all,0.3846,0.3692,2.332,18,11,5,13,15,24,33,15,3,18,3,3,0.541,0.362,1.429,2,3,0,2.403,32,15,3,29,11,26,17,13,12,28,13,0,0.9,1.502,0,2,1,0,1.18,0,0.378,0,0.213,0.192,0.96,1.812,0.3725,0.3725,2.5189,3.4654,1,0,2.7,3.3,3.3,3.2,3.1506,2.7976
CHI,2022,2022020747,LAK,20230122,HOME,all,0.4725,0.4225,2.268,19,13,1,18,2,26,27,15,13,23,3,4,0.6,0.385,1.283,1,0,0,4.175,27,7,2,25,6,17,16,6,4,29,5,7,0.894,0.724,2.557,1,0,1,0.076,0,0,0.418,1.396,0,1.773,2.779,0.4154,0.4154,2.5241,3.3979999999999997,0,1,3.1,3.3,3.1,3.6,3.0926,3.2039999999999997
CHI,2022,2022020765,VAN,20230124,AWAY,all,0.2982,0.2921,1.058,14,8,2,12,20,24,22,4,1,20,6,0,0.351,0.707,0,2,0,0,6.068,48,17,5,43,16,22,23,4,5,39,16,8,1.138,2.134,2.796,0,1,4,0.033,0,1.473,0.058,0.521,0.029,0.938,4.074,0.2419,0.2419,2.5743,3.4625,0,0,3.1,3.1,2.9,4.5,3.5561,3.286
CHI,2022,2022020777,CGY,20230126,AWAY,all,0.4118,0.4526,4.381,29,6,5,24,6,32,17,11,16,25,12,6,0.608,1.667,2.106,3,1,1,3.822,35,18,1,34,2,25,12,6,11,37,9,6,0.926,1.227,1.669,0,0,1,0.024,0,0.204,1.157,0.72,0.028,3.173,2.898,0.4405,0.4405,2.5148,3.6961999999999997,1,0,3.1,3.1,3.4,3,2.6787,3.6051
CHI,2022,2022020797,EDM,20230128,AWAY,all,0.4298,0.4023,2.802,29,17,3,26,11,29,27,8,16,23,8,4,0.503,0.837,1.462,0,0,3,4.711,43,17,7,36,9,39,21,8,11,29,16,7,1.093,1.773,1.845,2,3,2,0.751,0.081,0.49,0,0,0,2.051,4.14,0.4026,0.4026,2.7264,3.6525,0,0,3.5,2.8,4.2,2.7,2.6524,4.1585
CHI,2022,2022020818,ANA,20230207,HOME,all,0.6078,0.5921,2.583,29,17,2,27,4,31,21,16,8,33,11,1,0.94,1.336,0.308,0,1,1,2.051,26,9,3,23,6,21,15,6,4,22,6,3,0.532,0.712,0.807,1,0,2,0.425,0.016,0.069,0.242,0.325,0,1.917,1.641,0.5902,0.5902,2.7007000000000003,3.9162999999999997,0,1,3.6,3.5,3.1,3.8,4.343500000000001,3.0163
CHI,2022,2022020830,ARI,20230210,HOME,all,0.55,0.5714,2.927,44,10,4,40,4,28,27,13,5,45,9,2,1.241,1.281,0.405,2,2,0,1.724,26,12,3,23,4,24,25,7,8,34,8,0,0.888,0.836,0,3,0,0,0.53,0.055,0.039,0.379,0.119,0.01,2.008,1.51,0.5443,0.5443,2.6794000000000002,3.6756,1,1,3.4,3.5,2,2.5,3.4123000000000006,3.1066
CHI,2022,2022020844,WPG,20230211,AWAY,all,0.5317,0.5287,3.092,32,21,1,31,11,29,24,5,7,35,8,3,1.084,0.856,1.152,0,0,1,5.892,28,18,4,24,11,30,14,8,10,19,14,8,0.594,1.721,3.577,2,0,2,0.111,0,0.332,0.795,3.205,0,2.186,2.355,0.5156,0.5156,2.6654,3.4942,0,0,3.5,3.6,2.5,2.5,2.9089,3.4393000000000002
CHI,2022,2022020856,MTL,20230214,AWAY,all,0.4423,0.4507,1.311,22,14,0,22,14,25,19,8,15,29,1,2,0.681,0.164,0.466,0,0,0,3.196,31,19,4,27,18,27,13,7,8,25,11,3,0.8,1.54,0.856,2,1,1,0.089,0,0.427,0.039,0,0,1.184,2.769,0.4262,0.4262,2.7823,3.8533999999999997,0,0,3.1,3.2,3,3.3,4.4102,3.1032
CHI,2022,2022020864,TOR,20230215,AWAY,all,0.4123,0.3778,1.811,29,13,2,27,6,23,42,14,8,27,5,2,0.428,0.582,0.801,0,2,0,4.804,42,11,5,37,6,29,25,11,7,32,19,5,0.992,2.511,1.301,3,2,0,0.017,0.454,0.458,0,0.041,0.026,1.769,3.851,0.4,0.4,2.6302,3.8438000000000003,0,0,2.7,3.3,3.4,2.8,3.0124,4.0962
CHI,2022,2022020878,OTT,20230217,AWAY,all,0.4712,0.5122,2.693,32,7,4,28,4,31,30,9,10,31,9,2,0.841,1.363,0.489,2,2,0,2.872,31,15,3,28,4,30,38,11,13,25,13,2,0.813,1.608,0.451,0,3,0,0.059,0.2,0.155,0.233,0.51,0.186,2.215,2.006,0.5231,0.5231,2.4565,3.8846000000000003,1,0,2.5,3.7,3.4,3.1,4.0338,3.7432000000000003
CHI,2022,2022020899,TOR,20230219,HOME,all,0.3784,0.4217,3.452,28,7,5,23,4,23,27,7,11,26,4,5,0.864,0.492,2.096,4,0,1,4.371,35,21,3,32,6,29,20,10,5,29,13,6,0.752,1.616,2.003,0,1,2,0.364,0.05,0.762,0.826,0.259,0,2.261,3.3,0.4306,0.4306,2.4926000000000004,3.9314999999999998,1,1,2.4,3.7,3.5,2.6,2.7987,4.3071
CHI,2022,2022020915,VGK,20230221,HOME,all,0.5197,0.5368,3.496,39,15,2,37,2,27,23,8,9,36,11,4,1.193,1.415,0.888,0,1,1,2.906,36,17,2,34,6,31,18,10,11,34,6,4,0.862,0.796,1.248,1,1,0,0.191,0,0.005,0.594,0.354,0.061,2.65,2.547,0.4935,0.4935,2.6109999999999998,3.9511000000000003,0,1,2.8,3.8,3.5,2.4,2.3608000000000002,3.1951
CHI,2022,2022020918,DAL,20230222,AWAY,all,0.4,0.4253,1.717,23,11,4,19,6,27,17,7,6,29,7,1,0.781,0.735,0.201,1,2,1,3.043,32,22,3,29,4,21,13,4,8,37,11,2,0.961,1.392,0.691,1,2,0,0.016,0,0.452,0.083,0.914,0.005,1.613,1.678,0.4459,0.4459,2.8548,3.6349000000000005,1,0,2.8,3.5,2.1,2.3,2.5609,3.1267
CHI,2022,2022020946,SJS,20230225,AWAY,all,0.4255,0.4414,2.821,35,11,3,32,7,23,17,9,3,38,9,2,0.965,1.214,0.643,2,1,0,4.814,48,19,3,45,13,36,32,15,7,41,13,8,1.221,1.442,2.151,1,0,2,0.056,0.056,0.13,0.392,0.7,0.031,2.342,3.929,0.4111,0.4111,2.5884,3.557,0,0,2.7,3.7,2.9,3.2,3.9360999999999997,3.7415
CHI,2022,2022020957,ANA,20230227,AWAY,all,0.4545,0.4706,3.726,26,10,2,24,10,26,12,7,6,28,9,3,0.827,1.311,1.588,0,0,2,2.628,33,15,4,29,8,30,11,5,6,32,13,0,1.129,1.499,0,1,3,0,1.206,0.057,0.927,0.253,0.098,0,2.267,1.547,0.5167,0.5167,2.5903,3.5673000000000004,0,0,2.7,3.3,2.7,4.4,4.468999999999999,2.4385000000000003
CHI,2022,2022020966,ARI,20230228,AWAY,all,0.5196,0.5135,1.74,24,15,1,23,7,27,21,3,5,32,6,0,0.935,0.806,0,1,0,0,2.786,33,13,4,29,9,21,27,7,7,23,11,2,0.842,1.331,0.612,2,1,1,0.023,0,0.193,0,0,0,1.717,2.593,0.5,0.5,2.7046,3.625,0,0,2.7,3.4,2.9,3.5,3.9840000000000004,3.2191
CHI,2022,2022020979,DAL,20230302,HOME,all,0.4034,0.3765,2.683,21,16,2,19,6,26,26,11,16,20,9,3,0.522,1.075,1.086,1,0,1,6.438,36,18,5,31,4,28,17,6,5,34,8,11,0.845,1.044,4.549,0,1,4,0.69,0,1.154,0.021,1.937,0,1.972,3.347,0.3692,0.3692,2.5859,3.7312000000000003,0,1,2.4,3.5,2.4,2.7,2.7227,3.811
CHI,2022,2022020998,NSH,20230304,HOME,all,0.5104,0.52,2.711,28,10,1,27,10,24,27,10,12,29,7,3,0.769,0.973,0.968,0,1,0,4.037,25,11,3,22,8,28,25,8,4,23,8,5,0.647,0.932,2.458,1,0,2,0.533,0,0.934,0.125,0.905,0.02,2.034,2.198,0.5273,0.5273,2.545,3.7858000000000005,0,1,2.5,3.6,3.3,2.9,3.6756,3.3137
CHI,2022,2022021009,OTT,20230306,HOME,all,0.3269,0.3735,3.003,21,3,5,16,15,22,20,12,16,19,7,5,0.657,0.992,1.354,3,1,1,2.206,35,18,0,35,17,29,32,9,10,42,9,1,0.936,0.97,0.299,0,0,0,0.711,0.428,0.127,0.05,0.301,0.287,1.955,1.35,0.377,0.377,2.685,3.8699,1,1,2.6,3.5,4,2.5,2.7774,3.2658
CHI,2022,2022021022,DET,20230308,AWAY,all,0.3627,0.3165,1.859,20,12,3,17,6,27,18,1,4,21,2,2,0.446,0.32,1.092,2,0,1,4.216,41,11,4,37,6,37,11,3,6,38,10,6,1.16,1.216,1.841,2,2,0,1.117,0.01,0.566,0.057,0,0,0.684,3.64,0.2836,0.2836,2.8042000000000002,3.6101,0,0,2.9,3,2.3,3.5,3.3411999999999997,2.3856
CHI,2022,2022021036,FLA,20230310,AWAY,all,0.4,0.4301,3.422,24,8,3,21,8,30,18,10,6,31,5,4,0.746,0.664,2.012,1,1,1,2.912,43,19,4,39,10,23,25,8,12,42,10,1,1.61,1.086,0.216,3,1,0,0.653,0.145,0.733,1.359,0.221,0,1.41,1.814,0.4638,0.4638,2.7207999999999997,3.7445,0,0,2.8,3.1,2.8,2.8,3.6016,4.1543
CHI,2022,2022021042,TBL,20230311,AWAY,all,0.4091,0.4138,2.029,23,9,1,22,7,18,36,11,5,29,6,1,0.929,0.749,0.351,1,0,0,4.265,37,14,3,34,7,24,30,10,11,33,14,4,1.096,1.609,1.559,1,0,2,0.033,0.216,0.079,0,0.592,0,1.996,3.377,0.4125,0.4125,2.7178,3.5986,0,0,2.6,3.2,3.3,4,3.1536,3.5100000000000002
CHI,2022,2022021070,BOS,20230314,HOME,all,0.4074,0.3933,4.021,29,9,6,23,4,29,36,8,19,18,8,9,0.607,0.856,2.557,0,2,4,3.291,42,10,3,39,6,39,20,2,9,40,13,1,1.228,1.766,0.298,2,1,0,0.313,0.275,0.051,0.575,0.085,0,3.133,2.881,0.4,0.4,2.5711,3.7344999999999997,1,1,2.5,3.3,3.8,2.5,3.1619,3.5143999999999997
CHI,2022,2022021085,NSH,20230316,AWAY,all,0.4322,0.4138,4.443,21,15,2,19,4,20,28,11,8,21,9,6,0.887,1.048,2.508,0,1,1,3.444,36,16,1,35,2,37,32,4,10,37,9,5,1.124,1.003,1.316,1,0,0,0,0.291,0.369,1.549,0.545,0.089,2.805,2.239,0.4507,0.4507,2.8015,3.7592999999999996,1,0,2.7,3.3,3,2.2,3.2680999999999996,3.3928
CHI,2022,2022021106,ARI,20230318,AWAY,all,0.6346,0.6203,1.818,34,17,2,32,6,28,24,5,5,44,3,2,0.762,0.385,0.672,1,0,1,2.999,21,8,4,17,10,17,30,5,12,18,8,4,0.598,1.002,1.399,2,1,1,0.557,0.057,0.35,0,0.647,0.059,1.202,1.944,0.566,0.566,2.9637000000000002,3.6223,0,0,2.6,3.1,3.5,3.1,3.6983000000000006,2.7616
CHI,2022,2022021117,COL,20230320,AWAY,all,0.4643,0.4634,2.079,27,14,0,27,2,26,22,7,8,30,5,3,0.629,0.589,0.861,0,0,0,2.945,32,16,5,27,4,31,15,8,5,32,11,1,1.451,1.184,0.31,4,1,0,0.016,0.034,0.179,0,0,0,2.063,2.732,0.4605,0.4605,2.7729,3.6594,0,0,2.6,3.1,4,3.4,2.7435,3.1074
CHI,2022,2022021135,WSH,20230323,AWAY,all,0.5089,0.5059,1.388,28,14,1,27,6,24,20,5,10,36,7,0,0.643,0.746,0,1,0,0,3.338,28,13,6,22,8,30,13,6,14,29,9,4,1.185,1.042,1.11,2,2,2,0.122,0.156,0.734,0.038,0.057,0,1.229,2.391,0.5082,0.5082,2.8068,3.6753,0,0,2.5,3.2,3.8,3.8,3.3579999999999997,2.7796
CHI,2022,2022021155,MIN,20230325,AWAY,all,0.4694,0.5,1.456,23,7,1,22,4,20,27,4,5,35,4,0,1.065,0.392,0,0,1,0,2.149,25,13,3,22,6,30,25,5,4,29,9,1,0.803,1.126,0.22,1,2,0,0.033,0.111,0.163,0.141,0.01,0,1.283,1.865,0.5075,0.5075,2.6773,3.3653,0,0,2.4,3.3,3.7,2.7,3.2387,3.3683
CHI,2022,2022021168,VAN,20230326,HOME,all,0.4455,0.475,2.128,31,11,2,29,6,26,24,10,18,30,7,1,0.967,0.82,0.341,1,1,0,3.693,31,19,4,27,6,26,21,5,6,32,6,4,0.937,0.628,2.129,1,1,2,0.378,0.315,1.01,0.143,0.451,0.012,1.594,1.917,0.4839,0.4839,2.5518,3.1765,0,1,2.4,3.3,3.5,2.2,2.2736,3.0891
